,Set,Price_Euro,Pieces,Minifigs
198,Emma's Summer Heart Box,7.99,86,1 (1 unique to this set)
199,Stephanie's Summer Heart Box,7.99,95,1
200,Olivia's Summer Heart Box,7.99,93,2 (2 unique to this set)
201,Mia's Summer Heart Box,7.99,85,1 (1 unique to this set)
202,Emmet,,113,
203,Wyldstyle,,134,
204,Benny,,103,
205,Sweet Mayhem,,137,
206,Cherry Picker,9.74,155,
207,Power Boat,14.99,174,
208,Getaway Truck,19.99,128,
209,Police Pursuit,19.49,120,
210,Rescue Helicopter,29.99,325,
211,Chevrolet Corvette ZR1,39.99,579,
212,Tracked Loader,59.99,827,
213,Remote-Controlled Stunt Racer,79.99,324,
214,Porsche 911 RSR,199.99,1580,
215,Compact Crawler Crane,87.72,920,
216,Car Transporter,149.99,2493,
217,4x4 X-Treme Off-Roader,229.99,958,
218,Liebherr R 9800,449.99,4108,
219,Land Rover Defender,199.99,2573,
220,Elsa's Ice Palace,69.99,701,7 (1 unique to this set)
221,City Shaper Challenge Kit,,2238,1 (1 unique to this set)
222,BOOMTOWN BUILD Inspire Set,,739,
223,BOOMTOWN BUILD Discovery Set,,78,4
224,Ski Resort,77.97,806,11 (9 unique to this set)
225,Jet Patrol,9.74,54,2 (2 unique to this set)
226,Sky Police Drone Chase,19.49,192,3 (1 unique to this set)
227,Parachute Arrest,29.23,218,4 (3 unique to this set)
228,Diamond Heist,49.99,400,4 (3 unique to this set)
229,Air Base,73.1,529,6 (4 unique to this set)
230,Barbecue Burn Out,9.74,64,2 (1 unique to this set)
231,Dock Side Fire,14.61,97,2 (1 unique to this set)
232,Burger Bar Fire Rescue,29.99,327,3 (3 unique to this set)
233,Fire Station,59.99,509,4 (2 unique to this set)
234,Downtown Fire Brigade,99.99,943,7 (4 unique to this set)
235,Fire Plane,38.98,363,3 (1 unique to this set)
236,Desert Rally Racer,9.99,75,1 (1 unique to this set)
237,Construction Loader,9.99,88,1 (1 unique to this set)
238,Garbage Truck,19.99,90,2 (2 unique to this set)
239,Diving Yacht,19.99,148,2 (2 unique to this set)
240,Snow Groomer,19.49,197,2 (2 unique to this set)
241,Harvester Transport,29.99,358,3 (3 unique to this set)
242,Satellite Service Mission,9.74,84,1
243,Rover Testing Drive,19.49,202,2
244,Mars Research Shuttle,29.99,273,2 (1 unique to this set)
245,Lunar Space Station,48.73,412,5 (4 unique to this set)
246,Deep Space Rocket and Launch Control,99.99,837,7 (3 unique to this set)
247,Rocket Assembly & Transport,129.99,1055,8 (3 unique to this set)
248,People Pack - Space Research and Development,38.98,209,15 (12 unique to this set)
249,Fire Chief Response Truck,19.49,201,2
